index|LATITUDE|LONGITUDE|name
368|909|47.4536|-121.6658|FIRE TRAINING ACADEMY WASHINGT, WA US
369|911|47.0263|-122.8506|OLYMPIA 2.3 ESE, WA US
370|912|47.9461|-117.2509|CHATTAROY 6.3 NE, WA US
371|918|47.9752|-117.6061|CLAYTON 2.6 SW, WA US
372|921|48.082|-123.4673|PORT ANGELES 2.5 SSW, WA US
373|923|46.26667|-119.11667|PASCO TRI CITIES AIRPORT, WA US
374|925|46.09472|-118.28693999999999|WALLA WALLA REGIONAL AIRPORT, WA US
375|927|47.3308|-122.2673|LAKELAND NORTH 0.5 ENE, WA US
376|929|46.3194|-120.0369|SUNNYSIDE 1.2 W, WA US
377|933|47.2643|-122.0666|AUBURN 8.2 SE, WA US
378|934|46.6118|-120.6867|FRUITVALE 6.9 W, WA US
379|935|48.505|-121.48|ROCKPORT 6.5 E, WA US
380|942|48.19|-118.46|GOLD MOUNTAIN, WA US
381|946|47.5981|-117.3629|SPOKANE 5.7 SSE, WA US
382|951|47.1307|-122.823|OLYMPIA 7.0 NNE, WA US
383|965|46.2084|-119.1658|KENNEWICK 0.4 NNE, WA US
384|966|47.6046|-122.1931|BELLEVUE 1.8 W, WA US
385|968|46.5631|-119.60600000000001|RICHLAND 23.9 NW, WA US
386|976|47.7274|-122.1021|REDMOND 3.7 N, WA US
387|979|45.6562|-122.6399|VANCOUVER 1.9 NE, WA US
388|986|46.2009|-119.7616|PROSSER 0.4 SSE, WA US
389|996|46.4901|-124.0403|OCEAN PARK 0.4 SSE, WA US
390|1012|47.5432|-122.381|SEATTLE 5.6 SSW, WA US
391|1027|45.9917|-121.0833|GRAYBACK WASHINGTON, WA US
392|1029|47.7708|-120.6646|LEAVENWORTH 12.4 N, WA US
393|1036|47.5211|-122.1613|NEWPORT HILLS 1.9 SSE, WA US
394|1037|48.7431|-119.6222|AENEAS WASHINGTON, WA US
395|1039|46.646|-119.9061|PRIEST RAPIDS DAM, WA US
396|1050|46.57417|-120.60083|YAKIMA 5 WSW, WA US
397|1068|46.2507|-119.3197|RICHLAND 3.3 SSW, WA US
398|1071|46.6363|-123.2597|DRYAD, WA US
399|1154|46.2834|-117.9549|DAYTON 2.6 SSE, WA US
400|1155|46.11667|-122.89388999999998|KELSO SOUTHWEST REGIONAL AIRPORT, WA US
401|1161|47.1937|-123.0549|SHELTON 2.8 ESE, WA US
402|1162|48.6954|-119.28399999999999|TONASKET 7.0 E, WA US
403|1166|47.3544|-122.7813|GIG HARBOR 9.2 W, WA US
404|1187|47.3129|-122.1117|AUBURN 4.8 ENE, WA US
405|1191|47.633|-122.0308|SAMMAMISH 1.7 NNE, WA US
406|1201|45.7473|-122.5687|BATTLE GROUND 2.7 SSW, WA US
407|1211|45.7034|-122.6106|VANCOUVER 5.3 NE, WA US
408|1212|48.4946|-120.24799999999999|WINTHROP 3.5 WNW, WA US
409|1261|48.0768|-122.8667|PORT TOWNSEND 5.1 SW, WA US
410|1266|48.9277|-122.0545|MAPLE FALLS 1.1 ENE, WA US
411|1271|48.7175|-122.2049|ACME 0.0 NNE, WA US
412|1283|48.4028|-121.7903|FINNEY CREEK WASHINGTON, WA US
413|1326|47.68914|-119.10635|HARTLINE, WA US
414|1344|46.9777|-122.9947|OLYMPIA 6.5 SW, WA US
415|1346|48.7612|-118.6613|REPUBLIC 8.4 NNE, WA US
416|1406|48.2299|-122.4911|CAMANO ISLAND 4.2 NNE, WA US
417|1407|48.0581|-122.5142|FREELAND 3.3 NNE, WA US
418|1408|48.3071|-122.6325|OAK HARBOR 1.1 NNW, WA US
419|1442|48.0279|-122.0773|LAKE STEVENS 0.9 NW, WA US
420|1470|48.5557|-119.7492|CONCONULLY, WA US
421|1520|48.0125|-123.1709|SEQUIM 5.4 SW, WA US
422|1540|47.489|-117.4698|CHENEY 5.1 E, WA US
423|1609|47.6744|-120.2108|ENTIAT WASHINGTON, WA US
424|1622|48.0366|-117.3241|ELK 2.6 WNW, WA US
425|1650|47.6523|-122.4095|SEATTLE 3.5 NW, WA US
426|1660|47.713|-118.9412|ALMIRA 0.2 NNW, WA US
427|1671|47.8101|-118.1101|DAVENPORT 11.1 N, WA US
428|1721|48.181000000000004|-117.1712|NEWPORT 5.5 W, WA US
429|1741|47.7676|-122.3741|SHORELINE 1.7 NW, WA US
430|1847|45.9072|-120.7339|GOLDENDALE 7.1 NE, WA US
431|1876|47.4415|-120.2725|EAST WENATCHEE 1.8 NNE, WA US
